English,Sanskrit
"Free software only","मुक्तस्तन्त्रांशः केवलम्"
"No files in archive","न सञ्चिका आगारे"
"Unknown font type","अज्ञातो वर्णालेखप्रकारः"
"Failed to load document","इत्यस्य लेखस्यारोपणं विफलम्"
"Failed to save document","इत्यस्त लेखस्य रक्षणं विफलम्"
"Not a launchable item","अप्रक्षेप्यं वस्तु"
"View multi-page documents","दर्श्यन्तामनेकपृष्ठा लेखाः"
"Preview before printing","मुद्रणात् पूर्वं दर्श्यताम्"
"Automatically reload the document","स्वतः पुनरारोप्यतां लेखः"
"The document is automatically reloaded on file change.","सञ्चिकायां परिवर्तितायां स्वतः पुनरारोप्यते लेखः"
"Preparing to print…","मुद्रणमिष्क्रियते..."
"Invalid page selection","अपुष्टं पृष्ठचयनम्"
"End of presentation. Click to exit.","प्रस्तुतिः समाप्ता। निर्गन्तुं नोद्यताम्।"
"Print this document","मुद्र्यतामयं लेखः"
"Number of Pages:","पृष्ठसङ्ख्या-"
"Initial window state:","आद्यचित्रायणावस्था-"
"Open a recently used document","उद्घाट्यतामेकः सद्यःप्रयुक्तो लेखः"
"This document is locked and can only be read by entering the correct password.","अयं लेखो निगृहीतः सम्यङ्कूटसङ्केते प्रविष्टे पठितुं शक्यते च।"
"The document is locked and requires a password before it can be opened.","इत्येष लेखो निगृहीत उद्घाटनाय कूटसङ्केतोऽपेक्ष्यते च।"
"Add text annotation","पाठ्यान्तर्लेखो योज्ताम्"
"Document contains no annotations","लेखे न सतेऽन्तर्लेखाः"
"The document contains no pages","लेखे न सन्ति पृष्ठानि"
"The document contains only empty pages","लेखे रिक्तानि पृष्ठानि केवलम्"
"Save a copy of document before closing?","अपि पिधानात् पूर्वं  इत्यस्य लेखस्य प्रतिकृती रक्ष्यताम्?"
"Adjust the zoom level","समायोज्यतां सर्पणस्तरः"
"Open an existing document","उद्घाट्यतां विद्यमानो लेखः"
"Find a word or phrase in the document","लेखे पाठ्यमन्विष्यताम्"
"Open a New Document","नवो लेख उद्घाट्यताम्"
"Save the file as plain text?","अपि सामान्यपाठ्यमिव रक्ष्यताम्?"
"_Save As Plain Text","सामान्यपाठ्यमिव रक्ष्यताम्"
"Open a file","सञ्चकोद्घाट्यताम्"
"Ln %d, Col %d","पङ्क्तिः %dतमा, स्तम्भः %dतमः"
"Save the current file","रक्ष्यतामियं सञ्चिका"
"Cut the selection","चयनं कर्त्यताम्"
"Search for text","पाठ्यमन्विष्यताम्"
"There are unsaved documents","एतेऽरक्षिता लेखाः"
"Untitled documents only","अशीर्षका लेखाः केवलम्"
"'e' to edit the commands before booting or `c' for a command-line. ESC to return previous menu.","चितां संविधां प्रवर्तयितुं प्रवेशकीलं नोद्यताम्, 'e' इतीदं प्रवर्तनात् पूर्वं समादेशान् सम्पादयितुम्, 'c' इतीदं च समादेशान्त्याय। ESC इतीदं च पूर्वसूच्यै।"
"Press enter to boot the selected OS, `e' to edit the commands before booting or `c' for a command-line.","चितां संविधां प्रवर्तयितुं प्रवेशकीलं नोद्यताम्, 'e' इतीदं प्रवर्तनात् पूर्वं समादेशान् सम्पादयितुम्, 'c' इतीदं च समादेशान्त्याय।"
"Where the menu is displayed.","यत्र सूचिर्दर्श्यते।"
"Controls the menu display location.","सूचिस्थानं चिकेति।"
"Unknown Application Name","अज्ञातमनुप्रयोगनाम"
"Time &amp; Date settings…","समयदिनाङ्कसंरूपणम्..."
"Date and Time","दिनाङकः समयश्च"
"Keyboard Layout Chart","कीलफलकविधानम्"
"Text Entry Settings...","पाठ्यनिवेशसंरूपणम्..."
"Show time in Menu Bar","सूचिशलाकायां समयो दर्श्यताम्"
"Show percentage in Menu Bar","सूचिशलाकायां प्रतिशतं दर्श्यताम्"
"When to show the battery status in the menu bar.","कदा दर्श्यतां विद्युत्कोशस्तरः सूचिशलाकायाम्।"
"Show Time in Menu Bar","सूचिशलाकायां समयो दर्श्यताम्"
"Show Percentage in Menu Bar","सूचिशलाकायां प्रतिशतं दर्श्यताम्"
"About This Computer","एतत्सङ्गणकविषये"
"No language information available","भाषा सूचना नोपलभ्यते"
"The system does not have information about the available languages yet. Do you want to perform a network update to get them now?","इदानीं संविधायां भाषानां सम्बन्धे सूचना न सन्ति। अपि जालनवीनीकरणेन प्राप्यन्तां ता अधुना?"
"The language support is not installed completely","भाषासमर्थनं न पूर्णतः प्रतिष्ठापितम्"
"Some translations or writing aids available for your chosen languages are not installed yet. Do you want to install them now?","चिताभ्यो भाषाभ्य उपलब्धानि कानिचिदनुवाद-लेखनसाहाय्यानि न प्रतिष्ठापितानि। अपि प्रतिष्ठाप्यन्तामिदानीं तानि?"
"Checking available language support The availability of translations or writing aids can differ between languages.","निरीक्ष्यत उपलब्धं भाषासमर्थनम्। अनुवादानां लेखनसाहाय्यानां चोपलभ्यता भिन्नासु भाषासु पृथक्पृथक्।"
"When a language is installed, individual users can choose it in their Language settings.","प्रतिष्ठापितायां भाषायां सा व्यक्तिगतरूपेण भाषासंरूपणे चेतुं शक्यते।"
"Language for menus and windows:","भाषा सूचिभ्यश्चित्रायणेभ्यश्च-"
"Drag languages to arrange them in order of preference. Changes take effect next time you log in.","आद्यतानुरूपं क्रमेण स्थाप्यन्तां कर्षणेन भाषानामानि। परिवर्तनानि जायिष्यन्त आगामिसम्प्रवेशे।"
"Use the same language choices for startup and the login screen.","एत एव विकल्पाः प्रयुज्यन्तां प्रवर्तने नामाभिलेखनपटले च।"
"Install / Remove Languages...","प्रतिष्ठाप्यन्ताम् / निष्कास्यन्ताम् भाषाः..."
"Keyboard input method system:","कीलफलकनिवेशविधिः-"
"Display numbers, dates and currency amounts in the usual format for:","दर्श्यन्तां सङ्ख्या दिनाङ्का मुद्रामात्राश्च प्रारूपे भाषाया अधोलिखितायै-"
"Changes take effect next time you log in.","परिवर्तनानि जायिष्यन्त आगामिसम्प्रवेशे।"
"Use the same format choice for startup and the login screen.","अयमेव प्रारूपः प्रयुज्यतां सम्प्रवेशपटलेऽपि।"
"Incomplete Language Support","अपूर्णं भाषासमर्थनम्"
"Connect to Server","वितरकं समायुज्यताम्"
"Access and organize files","अनुगम्यन्तां विधीयन्तां च सञ्चिकाः"
"Open your personal folder","निजसञ्चय उद्घाट्यताम्"
"The text of the label.","लक्षस्य पाठ्यम्।"
"The current position of the insertion cursor in chars.","अक्षरेषु सारकस्य वर्तमाना स्थितिः।"
"Show more _details","अधिका विशेषा दर्श्यन्ताम्"
"Select all the text in a text field","पाठ्यक्षेत्रस्थं सर्वं पाठ्यं चेतुम्"
"The name and icon of the file.","सञ्चिकाया नाम चित्रकं च।"
"The size of the file.","सञ्चिकाया आयतिः।"
"The type of the file.","सञ्चिकायाः प्रकारः।"
"The date the file was modified.","यदा सञ्चिका परिवर्तिता।"
"The date the file was accessed.","यदा सञ्चिकाऽभिगता।"
"The owner of the file.","सञ्चिकाया अधिपतिः।"
"The group of the file.","सञ्चिकाया वर्गः।"
"The permissions of the file.","सञ्चिकाया अनुज्ञाः।"
"The location of the file.","सञ्चिकायाः स्थानम्।"
"on the desktop","फलकमुखे"
"If you want to eject the volume, please use Eject in the popup menu of the volume.","संविभागं निष्कासयितुं संविभागस्य सूच्या निष्कासनविकल्पश्चीयताम्।"
"This file cannot be mounted","सञ्चिकाऽनारोप्या"
"This file cannot be unmounted","सञ्चिकाऽनवरोप्या"
"This file cannot be ejected","सञ्चिकाऽनिष्कास्या"
"This file cannot be started","सञ्चिकाऽप्रवर्त्या"
"This file cannot be stopped","सञ्चिकाऽनिरोध्या"
"Slashes are not allowed in filenames","सञ्चिकानामसु प्रह्वचिह्ने वर्जिते"
"File not found","स़ञ्चिका न प्राप्ता"
"Unable to rename desktop icon","फलकमुखचित्रकस्य पुनरभिधानेऽक्षमता"
"_Select a new name for the destination","गन्तव्याय नवं नाम चीयताम्"
"Apply this action to all files","सर्वासां सञ्चिकानामिदं क्रियताम्"
"If you delete an item, it will be permanently lost.","उच्छेदितं वस्तु ध्रुवाय नशिष्यति।"
"Error while deleting.","उच्छेदने दोषः।"
"Error while copying.","प्रतिलेपने दोषः।"
"Error while moving.","स्थानान्तरणे दोषः।"
"You do not have permissions to access the destination folder.","न गन्तव्यसञ्चयमभिगन्तुमनुज्ञा भवत्समीपम्।"
"There was an error getting information about the destination.","गन्तव्ससम्बन्धे सूचनाप्राप्तौ कश्चिद्दोषो जातः।"
"The destination is not a folder.","गन्तव्यो न सञ्चयः।"
"There is not enough space on the destination. Try to remove files to make space.","अपर्याप्तमवकाशं गन्तव्ये। अवकाशं प्रतिपदितुं सञ्चिका उच्छेदनीयाः।"
"The destination is read-only.","गन्तव्यं पठ्यमात्रम्।"
"Could not remove the source folder.","प्रभवसञ्चयस्य विस्थापने वैफल्यम्।"
"Undo last action","अपाक्रियतामन्तिमं कर्म"
"Redo last undone action","पुनःक्रियतामन्तिममपाकृतं कर्म"
"Manage your network connections","प्रबध्यन्तां जालसम्पर्काः"
"Manage and change your network connection settings","प्रबध्यन्तां परिवर्त्यन्तां च जालसम्पर्काः"
"Don't show this message again","न पुनर्दर्श्यतामयं सन्देशः"
"Enable _Mobile Broadband","प्रक्रियतां जङ्गमपृथुवाहिनी"
"No network connection","न कश्चिज्जालसम्पर्कः"
"Disconnected - you are now offline","वियुक्तम् - सम्पर्को विच्छिदितः सम्प्रति"
"New Mobile Broadband connection...","नवो जङ्गमपृथुवाहिनीसम्पर्कः..."
"Access for everyone","सर्वेभ्योऽभिगम्यता"
"At the heart of the Ubuntu philosophy is the belief that computing is for everyone. With advanced accessibility tools and options to change language, colour scheme and text size, Ubuntu makes computing easy – whoever and wherever you are.","सङ्गणनं सर्वेभ्यः इति Ubuntu दर्शनस्य बीजमन्त्रम्। भाषा-वर्णयोजना-पाठ्यपरिमाणान् परिवर्तयितुं विद्यमानैः प्रगतैर्गम्यतासाधनैर्विकल्पैश्च Ubuntu द्वारा सङ्गणनं सुलभीक्रियते कस्मैचिदपि कुत्रचिदपि स्थिताय च।"
"Make the most of the web","जालस्याधिकाधिकोपयोगः क्रियेत"
"Firefox web browser","Firefox जालगवेषकम्"
"Rhythmbox Music Player","Rythmbox सङ्गीतचालकम्"
"Everything you need for the office","तत्सर्वं यत्कार्यस्थानायापेक्ष्यते"
"LibreOffice is a free office suite packed with everything you need to create documents, spreadsheets and presentations. Compatible with Microsoft Office file formats, it gives you all the features you need, without the price tag.","LibreOffice इत्येष एको मुक्तो नियोगसम्पुटो लेख-विस्तीर्णपत्र-प्रस्तुतयः कर्त्तुं सर्वसाधनैः संयुक्तः। Microsoft Office सञ्चिकाप्रारूपसङ्गतोऽयं निःशुल्कोऽपि सर्वसुविधासंपूर्णः।"
"Find even more software","अन्येऽपि तन्त्रांशा उपलभ्याः"
"Fast and full of new features, the latest version of Ubuntu makes computing easier than ever. Here are just a few cool new things to look out for…","द्रुतं नवलक्षणपरिपूर्णं च Ubuntu इत्यस्य नवीनतमं संस्करणं सङ्गणनं पूर्वतोऽतिसुलभं करोति। सम्प्रतीक्षितुमिह कानिचिन्नवानि वस्तूनि..."
"Ubuntu Software Center","Ubuntu तन्त्रांशकेन्द्रम्"
"Lets you choose from thousands of applications available for Ubuntu","Ubuntu इत्यस्मा उपलब्धेभ्यः सहस्राधिकेभ्योऽनुप्रयोगेभ्यश्चयनाय"
"Graphic Interface Design","चित्रमाध्यमपरिकल्पना"
"Science &amp; Engineering","विज्ञानं यन्त्रणं च"
"Computer Science &amp; Robotics","सङ्गणकशास्त्रं यान्त्रोरिकी च"
"Painting &amp; Editing","वर्णनं सम्पादनं च"
"Books &amp; Magazines","ग्रन्थाः पत्रिकाश्च"
"_Ignore and install","उपेक्ष्य प्रतिष्ठाप्यताम्"
"Provided by the vendor.","विक्रेत्रा सम्भृतानि।"
"Invalid password, please try again","अपुष्टः सङ्केतः"
"Failed to authenticate","वैफल्यं प्रमाणप्राप्तौ"
"Failed to start session","वैफल्यं सत्रारम्भे"
"Goodbye. Would you like to…","किं क्रियेत..."
"Are you sure you want to shut down the computer?","अपि सङ्गणकं पिधातुं निश्चयः कृतः?"
"Show release version","दर्श्यतां विमोचनसंस्करणनाम"
"Run in test mode","परीक्षणावस्थायां चाल्यताम्"
"- Unity Greeter","-Unity अभिनन्दकः"
"Server type not supported.","वितरकप्रकारो न समर्थितः।"
"Login as %s","%s-वत् प्रविश्यताम्"
"Retry as %s","%s-वत् पुनर्यत्यताम्"
"Run a command","चाल्यतां समादेशः"
"All Available Applications","सर्व उपलभ्या अनुप्रयोगाः"
"Search running applications","अन्विष्यन्तां चल्यमाना अनुप्रयोगाः"
"Search Files &amp; Folders","अन्विष्यन्तां सञ्चिकाः सञ्चयाश्च"
"Files &amp; Folders","सञ्चयाः सञ्चिकाश्च"
"%s, %u items","%s, %u वस्तूनि"
"Show in Folder","सञ्चये दर्श्यताम्"
"Total capacity %s","सकला क्षमता %s"
"Search social network messages","अन्विष्यन्तां सामाजिकजालसन्देशाः"
"Please enter your password","कूटसङ्केतः प्रवेश्यताम्"
"forgotten your Ubuntu One password?","अपि विस्मृतः Ubuntu One कूटसङ्केतः?"
"Open in calculator","उद्घाट्यतां सङ्कलके"
"You have just inserted an Audio CD.","सद्य एकं श्रव्यसान्द्रकं निविषिटम्।"
"You have just inserted a Video DVD.","सद्य एकमङ्कीयदृश्यवृत्तकं नविष्टम्।"
"You have just inserted a Video CD.","सद्य एकं दृश्यसान्द्रकं निविष्टम्।"
"You have just inserted a blank CD.","सद्य एकं रिक्तं सान्द्रकं निविष्टम्।"
"You have just inserted a Photo CD.","सद्य एकं भावचित्रसान्द्रकं निविष्टम्।"
"You have just inserted a Picture CD.","सद्य एकं चित्रसान्द्रकं निविष्टम्।"
"Open a New Window","नवः कोष्ठ उद्घाट्यताम्"
"See fewer results","ऊनाः परिणामा दर्श्यन्ताम्"
"This window is not responding","संविधितः प्रतिवचनं न प्राप्यते"
"Do you want to force the application to exit, or wait for it to respond?","अनुप्रयोग एवमेव निष्क्रम्येत अथवा प्रतिवचनाय प्रतीक्ष्येत?"
"Type your command","टङ्क्यतां स्वसमादेशः"
"Lock to Launcher","प्रक्षेपके संस्थाप्यताम्"
"Unlock from Launcher","प्रक्षेपकान्मुच्यताम्"
"Search your computer and online sources","अन्विष्यतां स्वसङ्गणकं संयुक्तस्रोताश्च"
"Waiting to install","प्रतिष्ठापनाय प्रतीक्षते"
"Unity Scrollbars Support","Unity सारणशलाकासमर्थनम्"
"How long the fade should last","यावदवधौ शीर्णस्तिष्ठति"
"How long the fade should take (ms)","यावत्समये (ms) शीर्यते"
"Key to show the menu bar while pressed","नोदिते सूचिशलाकां दिदृक्षितुं कीलम्"
"Fade and Slide","शरणमवसर्पणं च"
"Are you sure you want to close all programs and shut down the computer?","आख्य। अपि सर्वान् संविधीन् सङ्गणकं च पिधातुं निश्चयः कृतः?"
"Checking for updates…","नवीनकरणानि परीक्ष्यन्ते..."
"Update is complete","नवीनकरणं सम्पूर्णम्"
"_Remind Me Later","स्मार्ये परे"
"%s will be downloaded.","%s एतावदवाहरिष्यते।"
"Updated software is available for this computer. Do you want to install it now?","नवीनस्तन्त्रांश उपलब्धोऽस्मै सङ्गणकाय। अपि प्रतिष्ठाप्यतामिदानीम्?"
"Details of updates","नवीनीकरणानां विवरणम्"
"Compose New Message","नवः सन्देशो रच्यताम्"
"Ubuntu One Music","Ubuntu One सङ्गीतम्"
"Please choose a file","एका सञ्चिका चीयताम्"
